time,origin_zone,dest_zone,counts
56400,2,2,"[3, 1, 1, 0, 0, 0, 2]"
62400,0,0,"[1, 0, 1, 1, 2, 0, 0]"
1200,1,0,"[2, 1, 1, 0, 1, 1, 2]"
44400,1,0,"[1, 1, 2, 1, 0, 1, 2]"
48600,1,1,"[5, 1, 3, 11, 1, 2, 3]"
31200,0,1,"[1, 0, 2, 3, 1, 0, 1]"
46200,1,1,"[4, 4, 2, 2, 2, 0, 5]"
57000,1,1,"[6, 2, 1, 2, 4, 1, 2]"
31200,2,2,"[1, 0, 2, 3, 1, 0, 2]"
41400,2,2,"[1, 0, 1, 0, 0, 0, 2]"
3600,2,1,"[1, 0, 0, 0, 0, 0, 0]"
58200,1,1,"[8, 3, 0, 3, 2, 2, 1]"
58200,2,2,"[1, 0, 0, 1, 0, 0, 2]"
81000,0,1,"[1, 3, 2, 2, 0, 1, 1]"
46200,0,1,"[4, 2, 0, 2, 1, 0, 3]"
85800,1,1,"[1, 2, 0, 1, 0, 3, 5]"
70200,0,1,"[1, 1, 1, 1, 0, 2, 1]"
60600,1,1,"[2, 4, 6, 3, 2, 1, 3]"
7200,0,0,"[4, 0, 0, 1, 0, 2, 1]"
13800,0,2,"[1, 0, 0, 0, 0, 0, 1]"
66600,2,0,"[1, 0, 0, 0, 0, 1, 0]"
64200,0,0,"[3, 3, 2, 3, 0, 1, 4]"
14400,0,1,"[2, 0, 0, 0, 1, 0, 0]"
42000,2,2,"[3, 1, 1, 1, 1, 0, 2]"
75000,1,1,"[6, 5, 4, 0, 2, 3, 3]"
79800,1,2,"[1, 1, 2, 0, 0, 0, 0]"
9600,0,1,"[3, 0, 0, 0, 0, 0, 4]"
34800,0,1,"[3, 3, 0, 1, 1, 3, 0]"
13200,1,2,"[2, 1, 0, 0, 0, 0, 0]"
10200,0,1,"[3, 1, 0, 0, 1, 0, 0]"
74400,2,2,"[1, 0, 0, 0, 0, 1, 1]"
54000,1,0,"[2, 3, 1, 1, 1, 3, 2]"
7800,0,1,"[3, 0, 0, 0, 0, 0, 4]"
4200,1,1,"[2, 0, 0, 0, 1, 2, 4]"
0,0,1,"[3, 0, 1, 0, 1, 2, 0]"
82200,1,0,"[1, 3, 1, 1, 0, 3, 0]"
64200,0,1,"[2, 1, 0, 0, 0, 1, 0]"
67800,0,3,"[1, 0, 0, 0, 0, 0, 0]"
2400,1,3,"[1, 0, 0, 0, 0, 0, 0]"
10200,1,0,"[3, 0, 0, 1, 0, 0, 1]"
3000,1,0,"[7, 0, 0, 2, 1, 0, 2]"
34800,1,1,"[4, 3, 2, 0, 3, 2, 4]"
55800,2,2,"[2, 0, 1, 0, 2, 0, 1]"
44400,1,1,"[4, 1, 2, 1, 5, 2, 1]"
45600,1,1,"[3, 2, 4, 4, 0, 5, 6]"
33000,2,2,"[2, 0, 1, 1, 0, 2, 0]"
7200,1,0,"[4, 0, 0, 0, 1, 0, 2]"
51600,1,1,"[4, 3, 6, 6, 3, 8, 0]"
48000,1,1,"[3, 2, 1, 0, 2, 1, 3]"
12000,0,1,"[5, 0, 0, 0, 0, 0, 1]"
42600,2,2,"[2, 1, 2, 1, 0, 2, 0]"
41400,1,0,"[2, 0, 0, 0, 0, 1, 1]"
54600,1,1,"[2, 1, 2, 4, 0, 3, 3]"
55200,0,0,"[2, 0, 0, 2, 1, 1, 1]"
